epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,11384.8,0.66453,1.16099,0.49784,1.04965,0,0.90915,0.88956,0.93879,0.77059,0.90956,0.88961,0.93427,0.7413,0.70143,1.20638,0.47417,1.01717,0,0.000290875,0.000290875,0.000290875
29,11782.5,0.66099,1.14307,0.48551,1.04682,0,0.90488,0.89424,0.93758,0.76825,0.90257,0.89217,0.93256,0.73929,0.70161,1.20462,0.46762,1.01636,0,0.0002785,0.0002785,0.0002785
30,12179.2,0.64736,1.12622,0.47626,1.04392,0,0.918,0.87895,0.93661,0.77208,0.91882,0.88089,0.93366,0.74279,0.70064,1.20483,0.46828,1.00995,0,0.000266125,0.000266125,0.000266125
31,12585.9,0.64963,1.13532,0.4744,1.03995,0,0.91792,0.88612,0.93916,0.77851,0.9193,0.88793,0.93748,0.74765,0.6863,1.19007,0.45946,1.0089,0,0.00025375,0.00025375,0.00025375
32,12989.9,0.64332,1.11531,0.47152,1.03975,0,0.91685,0.88519,0.94218,0.78173,0.9182,0.88652,0.93906,0.75123,0.68325,1.17388,0.45569,1.00499,0,0.000241375,0.000241375,0.000241375
33,13397.1,0.63403,1.1025,0.45746,1.03229,0,0.91452,0.88768,0.94315,0.78191,0.91651,0.88826,0.93837,0.75283,0.68567,1.18753,0.45567,1.00757,0,0.000229,0.000229,0.000229
34,13800.6,0.63586,1.08889,0.45473,1.0313,0,0.921,0.88874,0.94213,0.78158,0.92279,0.88699,0.93911,0.75446,0.68281,1.17379,0.44586,1.00583,0,0.000216625,0.000216625,0.000216625
35,14204.9,0.62225,1.07475,0.44479,1.02802,0,0.91339,0.89569,0.94397,0.78773,0.91319,0.89301,0.94,0.75618,0.6698,1.16619,0.44603,1.00112,0,0.00020425,0.00020425,0.00020425
36,14610.4,0.62464,1.0839,0.45162,1.02876,0,0.90722,0.8948,0.94085,0.78517,0.9072,0.89775,0.93849,0.75354,0.67459,1.16417,0.44928,1.00322,0,0.000191875,0.000191875,0.000191875
37,15008.1,0.61859,1.06128,0.43363,1.01975,0,0.92217,0.88484,0.94314,0.78855,0.91854,0.88806,0.94117,0.75646,0.67239,1.16372,0.43587,1.00141,0,0.0001795,0.0001795,0.0001795
38,15410.7,0.60423,1.04859,0.42732,1.01388,0,0.91478,0.89201,0.94489,0.78947,0.91519,0.88911,0.93891,0.75855,0.67039,1.16837,0.43526,0.99073,0,0.000167125,0.000167125,0.000167125
39,15813.2,0.60342,1.03876,0.42323,1.01456,0,0.91101,0.89921,0.94599,0.79113,0.911,0.90017,0.94222,0.75808,0.66635,1.16887,0.43049,0.99298,0,0.00015475,0.00015475,0.00015475
40,16217.9,0.59746,1.04125,0.41915,1.01214,0,0.91336,0.89882,0.94551,0.7935,0.91525,0.89846,0.94282,0.76353,0.66547,1.16454,0.4283,0.99667,0,0.000142375,0.000142375,0.000142375
41,16622.2,0.59059,1.03304,0.40977,1.00641,0,0.91912,0.88971,0.94664,0.79345,0.92056,0.88819,0.94213,0.76112,0.65824,1.15593,0.43027,0.99168,0,0.00013,0.00013,0.00013
42,17019.6,0.58402,1.00997,0.40078,1.00417,0,0.9134,0.90107,0.94646,0.79429,0.91373,0.90054,0.94274,0.76139,0.65789,1.16107,0.42639,0.99198,0,0.000117625,0.000117625,0.000117625
43,17419.7,0.57952,1.01005,0.40103,1.00255,0,0.91482,0.89955,0.94613,0.79703,0.91596,0.898,0.94228,0.76612,0.65487,1.1595,0.42625,0.99041,0,0.00010525,0.00010525,0.00010525
44,17828.9,0.57571,1.00523,0.39397,0.99551,0,0.92412,0.89652,0.94983,0.80253,0.92406,0.89545,0.94614,0.76709,0.64721,1.148,0.4176,0.98629,0,9.2875e-05,9.2875e-05,9.2875e-05
45,18235.5,0.57043,0.99557,0.38773,0.9917,0,0.92385,0.89725,0.94849,0.80134,0.92923,0.89104,0.94605,0.76761,0.64728,1.15728,0.41612,0.97861,0,8.05e-05,8.05e-05,8.05e-05
46,18625.7,0.50142,0.87593,0.32692,0.96019,0,0.91774,0.90239,0.94777,0.80109,0.91546,0.90203,0.94345,0.76697,0.64564,1.14859,0.41821,0.98275,0,6.8125e-05,6.8125e-05,6.8125e-05
47,19014.8,0.49264,0.8663,0.31428,0.95563,0,0.92137,0.90141,0.94959,0.80413,0.91901,0.89932,0.94461,0.76972,0.64209,1.1465,0.41309,0.98037,0,5.575e-05,5.575e-05,5.575e-05
48,19411.2,0.48873,0.86312,0.31136,0.95243,0,0.92028,0.89997,0.94904,0.80364,0.91882,0.90044,0.94654,0.76867,0.64144,1.14853,0.41045,0.9809,0,4.3375e-05,4.3375e-05,4.3375e-05
49,19799.5,0.48125,0.85583,0.30752,0.94898,0,0.92758,0.89561,0.94845,0.8048,0.91982,0.9025,0.94591,0.76895,0.63888,1.15439,0.40813,0.9776,0,3.1e-05,3.1e-05,3.1e-05
50,20189.8,0.47982,0.85246,0.30444,0.94876,0,0.92374,0.89903,0.94909,0.80458,0.91994,0.90042,0.94641,0.76797,0.63879,1.15157,0.40853,0.98005,0,1.8625e-05,1.8625e-05,1.8625e-05
